mission_id,mission_type,operate_type,x,y,speed(mps),time,
, , , -225.174, 157.448, 0.000, 1637590747.539, 
, , , -225.174, 157.448, 0.000, 1637590748.543, 
, , , -225.174, 157.448, 0.000, 1637590749.550, 
, , , -225.174, 157.448, 0.000, 1637590750.554, 
, , , -225.174, 157.448, 0.000, 1637590751.561, 
, , , -225.173, 157.448, 0.000, 1637590752.572, 
, , , -225.173, 157.448, 0.000, 1637590753.578, 
, , , -225.173, 157.448, 0.000, 1637590754.583, 
, , , -225.173, 157.448, 0.000, 1637590755.587, 
, , , -225.173, 157.448, 0.000, 1637590756.591, 
, , , -225.173, 157.448, 0.000, 1637590757.601, 
, , , -225.172, 157.448, 0.000, 1637590758.608, 
, , , -225.172, 157.448, 0.000, 1637590759.612, 
, , , -225.172, 157.448, 0.000, 1637590760.621, 
, , , -225.172, 157.448, 0.000, 1637590761.626, 
, , , -225.172, 157.448, 0.000, 1637590762.631, 
, , , -225.171, 157.450, 0.000, 1637590763.635, 
, , , -225.171, 157.452, 0.000, 1637590764.639, 
, , , -225.172, 157.453, 0.000, 1637590765.643, 
, , , -225.172, 157.453, 0.000, 1637590766.647, 
, , , -225.173, 157.452, 0.000, 1637590767.651, 
, , , -225.172, 157.452, 0.000, 1637590768.656, 
, , , -225.172, 157.452, 0.000, 1637590769.660, 
, , , -225.172, 157.452, 0.000, 1637590770.666, 
, , , -225.172, 157.452, 0.000, 1637590771.669, 
, , , -225.172, 157.452, 0.000, 1637590772.678, 
, , , -225.171, 157.452, 0.000, 1637590773.683, 
, , , -225.171, 157.452, 0.000, 1637590774.687, 
, , , -225.171, 157.452, 0.000, 1637590775.689, 
, , , -225.171, 157.452, 0.000, 1637590776.693, 
, , , -225.171, 157.452, 0.000, 1637590777.699, 
, , , -225.171, 157.451, 0.000, 1637590778.703, 
, , , -225.171, 157.451, 0.000, 1637590779.717, 
, , , -225.171, 157.451, 0.000, 1637590780.724, 
, , , -225.171, 157.451, 0.000, 1637590781.735, 
, , , -225.170, 157.451, 0.000, 1637590782.742, 
, , , -225.170, 157.451, 0.000, 1637590783.745, 
, , , -225.170, 157.451, 0.000, 1637590784.749, 
, , , -225.170, 157.451, 0.000, 1637590785.753, 
, , , -225.170, 157.450, 0.000, 1637590786.760, 
, , , -225.171, 157.448, 0.000, 1637590787.768, 
, , , -225.172, 157.447, 0.000, 1637590788.772, 
, , , -225.174, 157.446, 0.000, 1637590789.778, 
, , , -225.175, 157.445, 0.000, 1637590790.782, 
, , , -225.175, 157.444, 0.000, 1637590791.794, 
, , , -225.175, 157.444, 0.000, 1637590792.797, 
, , , -225.175, 157.443, 0.000, 1637590793.801, 
, , , -225.175, 157.443, 0.000, 1637590794.804, 
, , , -225.175, 157.443, 0.000, 1637590795.809, 
, , , -225.175, 157.443, 0.000, 1637590796.814, 
, , , -225.174, 157.443, 0.000, 1637590797.826, 
, , , -225.171, 157.451, 0.000, 1637590798.831, 
, , , -225.169, 157.453, 0.000, 1637590799.834, 
, , , -225.167, 157.454, 0.000, 1637590800.838, 
, , , -225.167, 157.455, 0.000, 1637590801.841, 
, , , -225.166, 157.455, 0.000, 1637590802.844, 
, , , -225.166, 157.455, 0.000, 1637590803.848, 
, , , -225.165, 157.455, 0.000, 1637590804.856, 
, , , -225.165, 157.455, 0.000, 1637590805.863, 
, , , -225.165, 157.455, 0.000, 1637590806.870, 
, , , -225.165, 157.455, 0.000, 1637590807.875, 
, , , -225.165, 157.456, 0.000, 1637590808.880, 
, , , -225.165, 157.456, 0.000, 1637590809.886, 
