mission_id,mission_type,operate_type,x,y,speed(mps),time,
, , , 80.442, 126.794, 0.000, 1638289951.827, 
, , , 80.441, 126.797, 0.000, 1638289952.830, 
, , , 80.442, 126.798, 0.000, 1638289953.836, 
, , , 80.444, 126.797, 0.000, 1638289954.840, 
, , , 80.446, 126.798, 0.000, 1638289955.843, 
, , , 80.445, 126.798, 0.000, 1638289956.846, 
, , , 80.444, 126.799, 0.000, 1638289957.850, 
, , , 80.445, 126.800, 0.000, 1638289958.854, 
, , , 80.446, 126.800, 0.000, 1638289959.858, 
, , , 80.446, 126.801, 0.000, 1638289960.862, 
, , , 80.446, 126.802, 0.000, 1638289961.865, 
, , , 80.446, 126.802, 0.000, 1638289962.870, 
, , , 80.448, 126.801, 0.000, 1638289963.876, 
, , , 80.448, 126.801, 0.000, 1638289964.880, 
, , , 80.450, 126.800, 0.000, 1638289965.883, 
, , , 80.452, 126.799, 0.000, 1638289966.892, 
, , , 80.451, 126.800, 0.000, 1638289967.897, 
, , , 80.451, 126.801, 0.000, 1638289968.899, 
, , , 80.452, 126.801, 0.000, 1638289969.903, 
, , , 80.452, 126.801, 0.000, 1638289970.908, 
, , , 80.452, 126.801, 0.000, 1638289971.912, 
, , , 80.452, 126.799, 0.000, 1638289972.916, 
, , , 80.452, 126.790, 0.000, 1638289973.921, 
, , , 80.453, 126.788, 0.000, 1638289974.924, 
, , , 80.452, 126.787, 0.000, 1638289975.927, 
, , , 80.452, 126.787, 0.000, 1638289976.931, 
, , , 80.452, 126.786, 0.000, 1638289977.934, 
, , , 80.453, 126.788, 0.000, 1638289978.938, 
, , , 80.454, 126.789, 0.000, 1638289979.944, 
, , , 80.455, 126.790, 0.000, 1638289980.948, 
, , , 80.456, 126.790, 0.000, 1638289981.953, 
, , , 80.457, 126.790, 0.000, 1638289982.956, 
, , , 80.458, 126.790, 0.000, 1638289983.963, 
, , , 80.458, 126.790, 0.000, 1638289984.967, 
, , , 80.458, 126.789, 0.000, 1638289985.970, 
, , , 80.458, 126.788, 0.000, 1638289986.977, 
, , , 80.459, 126.788, 0.000, 1638289987.981, 
, , , 80.459, 126.787, 0.000, 1638289988.984, 
, , , 80.460, 126.787, 0.000, 1638289989.989, 
, , , 80.460, 126.786, 0.000, 1638289990.993, 
, , , 80.461, 126.786, 0.000, 1638289991.999, 
, , , 80.461, 126.785, 0.000, 1638289993.004, 
, , , 80.461, 126.785, 0.000, 1638289994.011, 
, , , 80.461, 126.784, 0.000, 1638289995.018, 
, , , 80.462, 126.784, 0.000, 1638289996.024, 
, , , 80.462, 126.783, 0.000, 1638289997.027, 
, , , 80.463, 126.782, 0.000, 1638289998.031, 
, , , 80.462, 126.782, 0.000, 1638289999.038, 
, , , 80.462, 126.781, 0.000, 1638290000.042, 
, , , 80.462, 126.781, 0.000, 1638290001.045, 
, , , 80.462, 126.781, 0.000, 1638290002.048, 
, , , 80.461, 126.780, 0.000, 1638290003.057, 
, , , 80.462, 126.780, 0.000, 1638290004.062, 
, , , 80.462, 126.779, 0.000, 1638290005.068, 
, , , 80.462, 126.779, 0.000, 1638290006.073, 
, , , 80.461, 126.778, 0.000, 1638290007.077, 
, , , 80.461, 126.778, 0.000, 1638290008.079, 
, , , 80.461, 126.777, 0.000, 1638290009.084, 
, , , 80.460, 126.778, 0.000, 1638290010.089, 
, , , 80.460, 126.777, 0.000, 1638290011.092, 
, , , 80.460, 126.777, 0.000, 1638290012.095, 
, , , 80.460, 126.777, 0.000, 1638290013.099, 
, , , 80.460, 126.776, 0.000, 1638290014.106, 
, , , 80.459, 126.777, 0.000, 1638290015.112, 
, , , 80.459, 126.777, 0.000, 1638290016.116, 
, , , 80.458, 126.777, 0.000, 1638290017.120, 
, , , 80.458, 126.777, 0.000, 1638290018.125, 
, , , 80.457, 126.777, 0.000, 1638290019.129, 
, , , 80.457, 126.777, 0.000, 1638290020.132, 
, , , 80.457, 126.777, 0.000, 1638290021.137, 
, , , 80.456, 126.777, 0.000, 1638290022.140, 
, , , 80.456, 126.777, 0.000, 1638290023.144, 
, , , 80.455, 126.777, 0.000, 1638290024.147, 
, , , 80.455, 126.778, 0.000, 1638290025.150, 
, , , 80.454, 126.778, 0.000, 1638290026.154, 
, , , 80.454, 126.778, 0.000, 1638290027.158, 
, , , 80.454, 126.778, 0.000, 1638290028.167, 
, , , 80.453, 126.773, 0.000, 1638290029.170, 
, , , 80.452, 126.772, 0.000, 1638290030.174, 
, , , 80.451, 126.773, 0.000, 1638290031.178, 
, , , 80.453, 126.773, 0.000, 1638290032.181, 
, , , 80.452, 126.773, 0.000, 1638290033.186, 
, , , 80.453, 126.773, 0.000, 1638290034.191, 
, , , 80.451, 126.774, 0.000, 1638290035.194, 
, , , 80.449, 126.775, 0.000, 1638290036.199, 
, , , 80.447, 126.777, 0.000, 1638290037.211, 
, , , 80.447, 126.778, 0.000, 1638290038.214, 
, , , 80.446, 126.780, 0.000, 1638290039.219, 
, , , 80.447, 126.779, 0.000, 1638290040.225, 
, , , 80.446, 126.781, 0.000, 1638290041.228, 
, , , 80.447, 126.782, 0.000, 1638290042.236, 
, , , 80.447, 126.781, 0.000, 1638290043.239, 
, , , 80.447, 126.782, 0.000, 1638290044.246, 
, , , 80.446, 126.782, 0.000, 1638290045.250, 
, , , 80.447, 126.783, 0.000, 1638290046.252, 
, , , 80.447, 126.785, 0.000, 1638290047.257, 
, , , 80.447, 126.785, 0.000, 1638290048.264, 
, , , 80.447, 126.785, 0.000, 1638290049.268, 
, , , 80.447, 126.787, 0.000, 1638290050.271, 
, , , 80.448, 126.789, 0.000, 1638290051.275, 
, , , 80.446, 126.790, 0.000, 1638290052.279, 
, , , 80.447, 126.790, 0.000, 1638290053.282, 
, , , 80.449, 126.790, 0.000, 1638290054.286, 
, , , 80.449, 126.790, 0.000, 1638290055.290, 
, , , 80.450, 126.790, 0.000, 1638290056.294, 
, , , 80.451, 126.790, 0.000, 1638290057.297, 
, , , 80.451, 126.792, 0.000, 1638290058.304, 
, , , 80.453, 126.791, 0.000, 1638290059.307, 
, , , 80.454, 126.790, 0.000, 1638290060.311, 
, , , 80.456, 126.789, 0.000, 1638290061.316, 
, , , 80.456, 126.789, 0.000, 1638290062.323, 
, , , 80.456, 126.786, 0.000, 1638290063.327, 
, , , 80.456, 126.782, 0.000, 1638290064.330, 
, , , 80.456, 126.781, 0.000, 1638290065.333, 
, , , 80.455, 126.781, 0.000, 1638290066.338, 
, , , 80.455, 126.781, 0.000, 1638290067.343, 
, , , 80.455, 126.780, 0.000, 1638290068.347, 
